tenure,MonthlyCharges,Contract,Churn,TenureGroup,ChargeGroup
1,29.85,Month-to-month,No,0-12,Low
34,56.95,One year,No,25-48,Medium
2,53.85,Month-to-month,Yes,0-12,Medium
45,42.3,One year,No,25-48,Medium
2,70.7,Month-to-month,Yes,0-12,High
8,99.65,Month-to-month,Yes,0-12,High
22,89.1,Month-to-month,No,13-24,High
10,29.75,Month-to-month,No,0-12,Low
28,104.8,Month-to-month,Yes,25-48,High
62,56.15,One year,No,49-72,Medium
13,49.95,Month-to-month,No,13-24,Medium
16,18.95,Two year,No,13-24,Low
58,100.35,One year,No,49-72,High
49,103.7,Month-to-month,Yes,49-72,High
25,105.5,Month-to-month,No,25-48,High
69,113.25,Two year,No,49-72,High
52,20.65,One year,No,49-72,Low
71,106.7,Two year,No,49-72,High
10,55.2,Month-to-month,Yes,0-12,Medium
21,90.05,Month-to-month,No,13-24,High
1,39.65,Month-to-month,Yes,0-12,Medium
12,19.8,One year,No,0-12,Low
1,20.15,Month-to-month,Yes,0-12,Low
58,59.9,Two year,No,49-72,Medium
49,59.6,Month-to-month,No,49-72,Medium
30,55.3,Month-to-month,No,25-48,Medium
47,99.35,Month-to-month,Yes,25-48,High
1,30.2,Month-to-month,Yes,0-12,Low
72,90.25,Two year,No,49-72,High
17,64.7,Month-to-month,Yes,13-24,Medium
71,96.35,Two year,No,49-72,High
2,95.5,Month-to-month,No,0-12,High
27,66.15,One year,No,25-48,Medium
1,20.2,Month-to-month,No,0-12,Low
1,45.25,Month-to-month,No,0-12,Medium
72,99.9,Two year,No,49-72,High
5,69.7,Month-to-month,Yes,0-12,Medium
46,74.8,Month-to-month,No,25-48,High
34,106.35,Month-to-month,Yes,25-48,High
11,97.85,Month-to-month,Yes,0-12,High
10,49.55,One year,No,0-12,Medium
70,69.2,Two year,No,49-72,Medium
17,20.75,One year,No,13-24,Low
63,79.85,Two year,No,49-72,High
13,76.2,Month-to-month,No,13-24,High
49,84.5,Month-to-month,No,49-72,High
2,49.25,Month-to-month,No,0-12,Medium
2,80.65,Month-to-month,Yes,0-12,High
52,79.75,Two year,No,49-72,High
69,64.15,Two year,No,49-72,Medium
43,90.25,Month-to-month,No,25-48,High
15,99.1,Month-to-month,Yes,13-24,High
25,69.5,Month-to-month,No,25-48,Medium
8,80.65,Month-to-month,Yes,0-12,High
60,74.85,One year,No,49-72,High
18,95.45,Month-to-month,Yes,13-24,High
63,99.65,One year,No,49-72,High
66,108.45,One year,No,49-72,High
34,24.95,Two year,No,25-48,Low
72,107.5,Two year,No,49-72,High
